"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",8991.824,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",10052.329,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1786.935,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1863.693,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",1806.85,
"USA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",1224.79,
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",591.846,
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",612.209,
"BRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",802.239,
"BRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",839.049,
"CHL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1375.913,
"CHL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1392.014,
"CHL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1571.871,
"CHL","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",1672.736,"P"
"CHL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",905.235,
"CHL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",904.973,
"CHL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",840.881,
"CHL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",935.241,"P"
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",458.858,
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",501.815,
"CHN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",351.705,
"CHN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",392.536,
"COL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",920.899,
"COL","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1001.422,
"COL","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1050.253,
"COL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",270.987,
"COL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",291.942,
"COL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",285.624,
"CRI","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1129.297,
"CRI","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1150.589,
"CRI","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1226.253,
"CRI","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",400.423,"B"
"CRI","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",405.579,
"CRI","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",391.57,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1741.731,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1826.198,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2105.704,
"EST","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2345.985,"P"
"EST","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",622.342,
"EST","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",626.091,
"EST","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",623.526,
"EST","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",643.14,"P"
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",70.675,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",76.407,
"IND","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",143.915,
"IND","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",153.147,
"ISR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1777.621,
"ISR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1804.511,
"ISR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2165.57,
"ISR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",933.253,
"ISR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",932.785,
"ISR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",856.305,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1114.359,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1217.83,
"LVA","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1417.13,
"LVA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",746.609,
"LVA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",807.74,
"LVA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",810.766,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1610.05,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1780.423,
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2021.155,"P"
"LTU","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2320.756,"P"
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",786.2,
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",901.028,
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",859.911,"P"
"LTU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",987.378,"P"
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2217.519,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2345.049,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2541.899,
"SVN","HEALTHEXP","COMPULSORY","USD_CAP","A","2021",2787.512,"P"
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",827.587,
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",876.846,
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",932.248,
"SVN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2021",949.91,"P"
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1043.881,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1087.97,
"BGR","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1339.922,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",723.024,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",707.651,
"BGR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",783.06,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1543.429,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1603.005,
"HRV","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1750.79,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",338.737,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",354.091,
"HRV","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",328.712,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1099.073,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1508.444,
"CYP","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",2317.299,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1516.137,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1209.141,
"CYP","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",648.944,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2394.377,
"MLT","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",2596.762,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1376.999,
"MLT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",1557.015,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1322.993,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2019",1483.632,
"ROU","HEALTHEXP","COMPULSORY","USD_CAP","A","2020",1646.824,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",336.323,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2019",360.637,
"ROU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2020",404.764,
