"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2012","2012",64.9,"E","Estimated value"
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2013","2013",53.9,"E","Estimated value"
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2014","2014",54.4,"E","Estimated value"
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2015","2015",48.5,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2016","2016",48.5,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2017","2017",50.9,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2018","2018",41.1,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2019","2019",44.7,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2020","2020",75.5,,
"WAITKNEW","Knee replacement","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","ESP","Spain","2021","2021",48.7,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTPAMEQT","Waiting times of patients on the list: Mean (days)","CHL","Chile","2014","2014",84.2,"E","Estimated value"
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2014","2014",168,,
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2015","2015",190,,
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2016","2016",163,,
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2017","2017",123,,
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2018","2018",152,,
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2019","2019",126,,
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2020","2020",139,,
"WAITHYSW","Hysterectomy","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2021","2021",166,,
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2010","2010",44.5,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2011","2011",35,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2012","2012",42,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2013","2013",32,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2014","2014",34,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2015","2015",38,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2016","2016",42,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2017","2017",23,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","DNK","Denmark","2018","2018",23,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2012","2012",62,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2013","2013",64,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2014","2014",70,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2015","2015",62,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2016","2016",74,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2017","2017",93,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2018","2018",67,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2019","2019",70,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2020","2020",150,,
"WAITCATW","Cataract surgery","WTPAMDMB","Waiting times of patients on the list: Median (days)","CHL","Chile","2021","2021",136,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","CHL","Chile","2014","2014",38.2,"E","Estimated value"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2010","2010",13.8,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2011","2011",11,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2012","2012",14.2,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2013","2013",10.3,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2014","2014",10.6,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2015","2015",9.3,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2016","2016",10.5,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2017","2017",6.7,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2018","2018",8,"D","Difference in methodology"
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2010","2010",100,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2011","2011",98,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2012","2012",102,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2013","2013",87,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2014","2014",114,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2015","2015",99,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2016","2016",85,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2017","2017",92,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2018","2018",97,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2019","2019",106,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","FIN","Finland","2020","2020",103,,
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2012","2012",151,,
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2013","2013",1146,"B","Break"
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2014","2014",722,,
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2017","2017",842,,
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2018","2018",839,,
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2019","2019",793,,
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2020","2020",699,,
"WAITKNEW","Knee replacement","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2021","2021",871,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2012","2012",79,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2013","2013",81,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2014","2014",88,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2015","2015",89,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2016","2016",96,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2017","2017",119,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2018","2018",97,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2019","2019",97,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2020","2020",109,,
"WAITCATW","Cataract surgery","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2021","2021",84,,
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2010","2010",19.3,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2011","2011",17.6,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2012","2012",15.6,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2013","2013",16.2,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2014","2014",19,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2015","2015",20.1,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2016","2016",15.6,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2017","2017",10.4,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","DNK","Denmark","2018","2018",13.8,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2010","2010",682,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2011","2011",674,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2012","2012",717,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2013","2013",823,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2014","2014",883,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2015","2015",884,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2016","2016",648,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2017","2017",661,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2018","2018",825,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2019","2019",938,,
"WAITKNEW","Knee replacement","WTPAMDMB","Waiting times of patients on the list: Median (days)","EST","Estonia","2020","2020",1070,,
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","AUS","Australia","2014","2014",201,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","AUS","Australia","2015","2015",201,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","AUS","Australia","2016","2016",200,"B; D","Break; Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","AUS","Australia","2017","2017",205,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","AUS","Australia","2018","2018",207,"D","Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","AUS","Australia","2019","2019",216,"B; D","Break; Difference in methodology"
"WAITKNEW","Knee replacement","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","AUS","Australia","2020","2020",275,"D","Difference in methodology"
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2013","2013",92,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2014","2014",89,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2015","2015",87,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2016","2016",55,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2017","2017",74,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2018","2018",69,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2019","2019",62,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2020","2020",43,,
"WAITPROW","Prostatectomy","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","CHL","Chile","2021","2021",76,,
"WAITCOBW","Coronary bypass","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","CHL","Chile","2017","2017",47,,
"WAITCOBW","Coronary bypass","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","CHL","Chile","2018","2018",63,,
"WAITCOBW","Coronary bypass","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","CHL","Chile","2019","2019",67,,
"WAITCOBW","Coronary bypass","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","CHL","Chile","2020","2020",100,,
"WAITCOBW","Coronary bypass","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","CHL","Chile","2021","2021",100,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2010","2010",65.1,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2011","2011",67.6,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2012","2012",69.2,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2013","2013",71.7,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2014","2014",72.8,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2015","2015",72.5,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2016","2016",73.7,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2017","2017",78.2,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2018","2018",84.6,,
"WAITCATW","Cataract surgery","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","GBR","United Kingdom","2019","2019",84.7,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2012","2012",77,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2013","2013",92,"B","Break"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2014","2014",88,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2015","2015",86,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2016","2016",82,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2017","2017",85,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2018","2018",85,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2019","2019",89,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2021","2021",85,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2010","2010",32.8,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2011","2011",33.9,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2012","2012",32.9,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2013","2013",31.5,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2014","2014",29.1,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2015","2015",31.3,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2016","2016",38.9,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2017","2017",31.4,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2018","2018",33,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2019","2019",36.5,,
"WAITPTCW","Percutaneous transluminal coronary angioplasty (PTCA)","WTSPMENB","Waiting times from specialist assessment to treatment: Mean (days)","FIN","Finland","2020","2020",32.4,,
"WAITHYSW","Hysterectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2014","2014",26.2,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2015","2015",26.1,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2016","2016",27.6,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2017","2017",30.2,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2018","2018",31.5,"D","Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2019","2019",34.8,"B; D","Break; Difference in methodology"
"WAITHYSW","Hysterectomy","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","AUS","Australia","2020","2020",45,"D","Difference in methodology"
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2017","2017",18,,
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2018","2018",32,,
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2019","2019",23,,
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2020","2020",28.6,,
"WAITCOBW","Coronary bypass","WTSPMOTX","Waiting times from specialist assessment to treatment: % of all patients waiting more than 3 months","CHL","Chile","2021","2021",100,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2010","2010",83.2,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2011","2011",83.3,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2012","2012",82.4,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2013","2013",85.4,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2014","2014",86.1,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2015","2015",85.9,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2016","2016",87,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2017","2017",88.9,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2018","2018",88.9,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2019","2019",89.3,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTPAMOPC","Waiting times of patients on the list: % of all patients waiting more than 3 months","EST","Estonia","2020","2020",92.6,,
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2010","2010",106,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2011","2011",116,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2012","2012",116,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2013","2013",106,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2014","2014",109,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2015","2015",114,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2016","2016",110,"B; D","Break; Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2017","2017",119,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2018","2018",119,"D","Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2019","2019",120,"B; D","Break; Difference in methodology"
"WAITHIPW","Hip replacement (total and partial, including the revision of hip replacement)","WTSPMDMT","Waiting times from specialist assessment to treatment: Median (days)","AUS","Australia","2020","2020",179,"D","Difference in methodology"
